model,frame,decode_ms,infer_ms,track_ms,pipeline_ms,fps_proc,num_det_vehicle,mean_score_vehicle,frames_no_det,active_tracks,in_running,out_running,unique_ids,id_switches,segment
YOLOv8n,21,2.44,70.76,1.36,74.55,13.41,2,0.7125,0,2,0,0,4,0,start
YOLOv8n,22,1.84,60.19,0.85,62.88,15.9,3,0.6132,0,2,0,0,4,0,start
YOLOv8n,23,4.85,61.22,0.86,66.92,14.94,2,0.6771,0,2,0,0,4,0,start
YOLOv8n,24,1.34,59.63,0.79,61.76,16.19,2,0.6497,0,2,0,0,4,0,start
YOLOv8n,25,1.81,57.16,0.84,59.81,16.72,3,0.5409,0,2,0,0,4,0,start
YOLOv8n,26,1.1,54.68,0.68,56.45,17.71,1,0.7086,0,1,0,0,4,0,start
YOLOv8n,27,1.69,59.28,0.8,61.76,16.19,2,0.5559,0,1,0,0,4,0,start
YOLOv8n,28,1.18,67.67,0.76,69.61,14.37,2,0.6519,0,2,0,0,4,0,start
YOLOv8n,29,1.8,54.44,0.98,57.22,17.48,3,0.5523,0,2,0,0,4,0,start
YOLOv8n,30,1.35,56.3,0.7,58.35,17.14,2,0.6279,0,2,0,0,4,0,start
YOLOv8n,31,1.67,53.07,0.8,55.54,18.01,3,0.5057,0,2,0,0,4,0,start
YOLOv8n,32,4.72,57.42,0.88,63.02,15.87,3,0.5822,0,3,0,0,4,0,start
YOLOv8n,33,1.64,55.52,0.91,58.08,17.22,3,0.4949,0,3,0,0,4,0,start
YOLOv8n,34,1.16,57.1,0.69,58.95,16.96,2,0.4976,0,2,0,0,4,0,start
YOLOv8n,35,1.81,55.39,0.95,58.16,17.19,3,0.4753,0,2,0,0,4,0,start
YOLOv8n,36,1.36,57.78,0.8,59.95,16.68,2,0.5961,0,2,0,0,4,0,start
YOLOv8n,37,2.04,59.75,1.03,62.83,15.92,2,0.6249,0,2,0,0,4,0,start
YOLOv8n,38,1.58,64.25,0.73,66.55,15.03,2,0.587,0,2,0,0,4,0,start
YOLOv8n,39,1.42,53.84,0.68,55.94,17.88,2,0.5985,0,2,0,0,4,0,start
YOLOv8n,40,1.02,49.56,0.69,51.27,19.5,3,0.4599,0,2,0,0,4,0,start
YOLOv8n,41,1.35,55.18,0.76,57.29,17.46,3,0.5049,0,2,0,0,4,0,start
YOLOv8n,42,0.73,55.69,0.81,57.23,17.47,3,0.4455,0,2,0,0,4,0,start
YOLOv8n,43,1.28,50.09,0.71,52.08,19.2,3,0.5395,0,2,0,0,5,0,start
YOLOv8n,44,1.12,50.5,0.75,52.37,19.09,2,0.5659,0,1,0,0,5,0,start
YOLOv8n,45,2.06,51.22,0.72,54.0,18.52,2,0.4661,0,1,0,0,6,0,start
YOLOv8n,46,1.13,48.32,0.67,50.12,19.95,2,0.4995,0,2,0,0,6,0,start
YOLOv8n,47,1.48,48.33,0.68,50.5,19.8,2,0.5762,0,2,0,0,6,0,start
YOLOv8n,48,1.13,48.81,0.79,50.74,19.71,2,0.5072,0,1,0,0,6,0,start
YOLOv8n,49,1.38,49.2,0.76,51.33,19.48,3,0.5692,0,1,0,0,6,0,start
YOLOv8n,50,1.21,51.61,0.83,53.65,18.64,2,0.631,0,2,0,0,6,0,start
YOLOv8n,51,1.49,91.92,0.67,94.08,10.63,2,0.5851,0,2,0,0,6,0,start
YOLOv8n,52,0.97,49.03,0.78,50.78,19.69,2,0.5288,0,2,0,0,6,0,start
YOLOv8n,53,1.55,50.0,0.78,52.33,19.11,3,0.5387,0,2,0,0,6,0,start
YOLOv8n,54,1.16,49.0,1.49,51.66,19.36,2,0.5888,0,2,0,0,6,0,start
YOLOv8n,55,1.93,52.25,0.73,54.9,18.22,1,0.8036,0,1,0,0,6,0,start
YOLOv8n,56,1.1,54.15,0.75,56.0,17.86,1,0.7127,0,1,0,0,6,0,start
YOLOv8n,57,1.61,50.76,0.69,53.07,18.84,1,0.6798,0,1,0,0,6,0,start
YOLOv8n,58,1.16,54.85,0.7,56.71,17.63,1,0.7852,0,1,0,0,6,0,start
YOLOv8n,59,2.0,49.89,0.66,52.54,19.03,1,0.8188,0,1,0,0,6,0,start
YOLOv8n,60,0.96,50.65,1.57,53.18,18.81,2,0.4797,0,1,0,0,6,0,start
